Probe_Set_ID,Gene_Symbol
10030_at,NKP2
10034_at,DBP9
10053_at,GSP1
10063_i_at,VPS63 
10064_s_at,VPS63 
10071_at,PDR8
10073_at,SEC22
10091_at,GPN3
10108_at,CPR6
10112_at,CCC1
10116_at,YLR224W
10130_at,NMT1
10155_at,CBF5
10161_g_at,SAM1 
10169_at,MDL1
10170_g_at,RRN5
10185_s_at,ASP3-1 
10186_s_at,YLR156W 
10190_at,PUS5
10194_at,YPS3
10201_at,APC2
10215_at,KIN2
10216_at,HRT3
10222_at,CDC45
10245_at,GAL2
10247_at,EMP70
10265_at,ERG3
10272_at,BMT6
10278_at,MEF1
10290_at,COX12
10302_g_at,RPS0A 
10304_at,YLR050C
10315_at,PSR2
10322_at,SED5
10335_at,DRS1
10355_at,GPI13
10359_at,ISA1
10375_at,YCT1
10376_at,YLL054C
10379_at,FRE6
10388_at,FPS1
10412_f_at,PAU1 
10414_at,MHT1
10415_at,MMP1
10446_s_at,PTK1
10475_at,MLP1
10486_s_at,VBA3 
10489_at,OAF3
10507_at,NUP133
10572_at,FOX2
10598_at,MRT4
10691_at,YJU3
10695_at,YKL133C
10727_at,AVT3
10745_at,TPO5
10761_at,LOS1
10763_at,TOR2
10766_at,YKT6
10768_at,MST1
10777_at,MTR2
10791_at,MCH2
10795_at,JEN1
10858_s_at,THI11 
10860_s_at,HXT13 
10862_s_at,MPH2 
10880_at,NMD5
10891_at,PMT4
10916_at,RPS5
10957_at,OPI3
10969_at,GEF1
10990_at,GPI14
11015_at,CTK2
11020_i_at,PRE3
11021_f_at,PRE3
11022_at,PRE3
11033_at,SPC1
11061_g_at,TDH1 
11067_at,AIM22
11108_at,KHA1
11146_at,GSH1
11150_at,TIM17
11154_at,RPB4
11156_s_at,TIF1 
11161_at,LCB3
11173_at,HAL5
11187_at,SNA3
11189_at,DAS1
11247_s_at,YBL113C 
11248_s_at,YEL076C 
11249_f_at,PAU1 
11250_s_at,VTH1 
11251_s_at,IMA1 
11253_s_at,HXT11 
11265_i_at,YER188C-A
11266_f_at,YER188C-A
11289_at,UIP3
11294_g_at,PRM8 
11321_at,VPS8
11332_at,CDC15
11341_at,DRS2
11353_at,SYN8
11364_at,GCV3
11385_s_at,FLO1 
11405_at,YAR068W 
11412_at,VTH1 
11413_s_at,VTH1 
11414_s_at,VTH1 
11415_f_at,VTH1 
11428_at,YGR109W-A 
2119_g_at,TRA1
2126_s_at,TRA1
2178_at,YBL111C 
2190_g_at,NUP49
2201_at,SPC105
2205_at,GSC2 
2237_at,YAR009C 
2259_at,POX1
2260_g_at,POX1
2261_s_at,POX1
2279_g_at,GEA2
2315_at,YBL005W-A 
2316_at,YAR009C 
2341_g_at,YDR444W
2343_at,NHX1 
2359_at,TRM3
2362_s_at,TRM3
2366_s_at,USO1
2377_at,DNF2
2378_g_at,DNF2
2379_s_at,DNF2
2380_s_at,DNF2
2381_s_at,DNF2
2382_s_at,DNF2
2398_g_at,CDC39
2410_g_at,UGA4
2411_s_at,UGA4
2433_at,YBL100W-A 
2434_at,YBL100W-A 
2444_s_at,BPH1
2451_s_at,NUP170
2459_at,PDR3 
2460_at,YAR009C 
2490_s_at,NCR1
2495_at,CSR2
2496_g_at,CSR2
2497_s_at,CSR2
2498_s_at,CSR2
2499_s_at,CSR2
2520_at,YBL100W-A 
2545_at,MFM1
2565_s_at,SWI1
2597_at,SAM3
2601_at,FAS2
2611_at,YPL216W
2615_s_at,YPL216W
2627_at,AUS1
2628_s_at,AUS1
2629_s_at,AUS1
2630_s_at,AUS1
2631_s_at,AUS1
2664_at,YAR009C 
2686_at,PDR18
2709_s_at,YER190C-B 
2710_s_at,YFL067W
2777_at,GPI12
2784_s_at,HSH155
2797_at,YPR202W 
2798_g_at,YPR202W 
2813_at,YAR009C 
2815_at,YAR009C 
2817_at,IOC4 
2828_at,ADE6 
2833_s_at,MMS22
2864_at,CRN1 
2883_at,KIN2
2915_g_at,MMS22
2928_at,GEX1 
2943_at,SPA2
2947_s_at,SPA2
2991_at,MLP1
2992_g_at,MLP1
2993_s_at,MLP1
2994_s_at,MLP1
2995_s_at,MLP1
2996_s_at,MLP1
2997_s_at,MLP1
3004_s_at,TOR1
3039_s_at,COS9
3082_at,TOR1
3097_at,YDR034C-A
3110_s_at,VTH1 
3111_s_at,VTH1 
3112_s_at,VTH1 
3113_s_at,VTH1 
3114_s_at,VTH1 
3128_at,ASF1 
3133_f_at,YAR010C 
3136_s_at,YGR109W-B 
3137_s_at,YGR109W-B
3144_f_at,YAR010C 
3148_s_at,HMLALPHA2 
3161_f_at,YGR109W-B
3180_f_at,YHR214C-B
3181_f_at,YAR010C 
3183_f_at,YBL113C 
3184_s_at,YEL076C 
3187_s_at,YBL111C 
3189_i_at,COS8
3196_f_at,YHL009W-A 
3203_f_at,YAR010C 
3209_f_at,MAG1 
3222_f_at,YBL100W-B 
3223_f_at,YER138W-A
3225_f_at,YBL005W-B 
3226_f_at,YAR010C 
3232_f_at,YHL009W-A 
3233_f_at,YAR010C 
3236_f_at,YAR009C 
3237_f_at,YCL019W 
3240_f_at,YBL100W-A 
3241_f_at,YBL100W-B 
3247_s_at,YGR109W-A 
3248_s_at,YGR109W-B 
3249_s_at,YGR109W-B 
3250_s_at,YGR109W-B 
3251_s_at,YGR109W-A 
3252_s_at,YGR109W-B 
3253_f_at,YGR109W-B
3257_f_at,YGR109W-B
3260_f_at,YGR109W-B
3267_f_at,YGR109W-B
3268_f_at,YAR010C 
3279_f_at,YBL005W-B 
3283_f_at,YBL100W-B 
3284_f_at,YBL100W-B 
3291_f_at,YAR010C 
3301_f_at,YHL009W-A 
3302_f_at,YER138W-A 
3311_f_at,YBL100W-A 
3313_f_at,YBL100W-A 
3315_f_at,YBL005W-B 
3319_f_at,YAR010C 
3327_f_at,COS4
3330_f_at,YBL100W-A 
3336_f_at,YHL009W-A 
3342_f_at,YGR109W-B
3345_f_at,YBL100W-A 
3348_f_at,YAR010C 
3350_f_at,YAR009C 
3354_s_at,YDR034C-A 
3367_f_at,YAR010C 
3375_f_at,YGR109W-B
3379_f_at,HAP1 
3384_f_at,YGR109W-B
3386_f_at,YAR010C 
3387_f_at,YAR009C 
3388_f_at,YAR010C 
3389_f_at,YAR010C 
3391_f_at,YAR010C 
3392_f_at,YAR010C 
3393_f_at,YBL100W-B 
3394_f_at,YDR098C-B 
3395_f_at,YDR034C-D 
3396_f_at,HAP1 
3399_f_at,YBL100W-A 
