Identify_A,Identify_B
uniprotkb:E9P8I0,uniprotkb:E9P8I0
uniprotkb:P0CY12,uniprotkb:P0CY10
uniprotkb:P0CS91,uniprotkb:P42844
uniprotkb:P0CS91,uniprotkb:P42844
uniprotkb:Q7LKB1,uniprotkb:P25491
uniprotkb:Q7LKB1,uniprotkb:P25294
uniprotkb:Q7LKB1,uniprotkb:P25294
uniprotkb:Q7LKB1,uniprotkb:P10591
uniprotkb:Q7LKB1,uniprotkb:P11484
uniprotkb:Q7LKB1,uniprotkb:P25491
uniprotkb:Q7LKB1,uniprotkb:P11484
uniprotkb:Q7LKB1,uniprotkb:P25294
uniprotkb:Q7LKB1,uniprotkb:P25491
uniprotkb:Q7LKB1,uniprotkb:P10591
uniprotkb:P0CE70,uniprotkb:P40073
uniprotkb:P0CE70,uniprotkb:P38822
uniprotkb:Q03195,uniprotkb:Q6Q7I0
uniprotkb:Q6Q7I0,uniprotkb:Q03195
uniprotkb:E9P9A0,uniprotkb:P15019
uniprotkb:P0CS82,uniprotkb:P21242
uniprotkb:P0CS91,uniprotkb:P38249
uniprotkb:E9P9A0,uniprotkb:P15019
uniprotkb:P0CS91,uniprotkb:P52489
uniprotkb:P0CS91,uniprotkb:P32335
uniprotkb:P0CS91,uniprotkb:P32335
uniprotkb:P0CS91,uniprotkb:P32335
uniprotkb:P0CS91,uniprotkb:P32461
uniprotkb:E9P9A0,uniprotkb:P53538
uniprotkb:E9P9A0,uniprotkb:Q06697
uniprotkb:E9P9A0,uniprotkb:P15019
uniprotkb:E9P9A0,uniprotkb:Q06697
uniprotkb:P0CS91,uniprotkb:P38249
uniprotkb:P0CT05,uniprotkb:P13188
uniprotkb:P0CT05,uniprotkb:P13188
uniprotkb:P0CS91,uniprotkb:P40509
uniprotkb:P0CS91,uniprotkb:P40509
uniprotkb:P0CS91,uniprotkb:P23293
uniprotkb:E9P9C0,uniprotkb:P40003
uniprotkb:E9P9Z3,uniprotkb:P34078
uniprotkb:E9P9B2,uniprotkb:P47143
uniprotkb:E9P9C0,uniprotkb:Q06071
uniprotkb:P0CS91,uniprotkb:P32335
uniprotkb:P0CS91,uniprotkb:P32335
