Identify_A,Identify_B
E9P8I0,E9P8I0
P0CY12,P0CY10
P0CS91,P42844
P0CS91,P42844
Q7LKB1,P25491
Q7LKB1,P25294
Q7LKB1,P25294
Q7LKB1,P10591
Q7LKB1,P11484
Q7LKB1,P25491
Q7LKB1,P11484
Q7LKB1,P25294
Q7LKB1,P25491
Q7LKB1,P10591
P0CE70,P40073
P0CE70,P38822
Q03195,Q6Q7I0
Q6Q7I0,Q03195
E9P9A0,P15019
P0CS82,P21242
P0CS91,P38249
E9P9A0,P15019
P0CS91,P52489
P0CS91,P32335
P0CS91,P32335
P0CS91,P32335
P0CS91,P32461
E9P9A0,P53538
E9P9A0,Q06697
E9P9A0,P15019
E9P9A0,Q06697
P0CS91,P38249
P0CT05,P13188
P0CT05,P13188
P0CS91,P40509
P0CS91,P40509
P0CS91,P23293
E9P9C0,P40003
E9P9Z3,P34078
E9P9B2,P47143
E9P9C0,Q06071
P0CS91,P32335
P0CS91,P32335
P0CS91,P32461
P0CE70,P53839
P0CS91,Q12043
P31787,P0CI39
P0CS82,P29311
P0CT05,P07270
P0CT05,P07270
P0CT05,P09232
P0CT05,P00447
P0CT05,P13188
P0CT05,P53975
P40013,P0CS82
Q02486,E9P8H7
P32892,Q7LMB5
P31787,P0CI39
P40312,P14796
P0CS91,P52489
P0CS91,P32335
P53839,P0CE70
P53136,Q7LM79
P0CD92,P49018
P0CD92,P43542
P0CI38,Q12328
P54854,P47186
P33754,P47186
P40027,P40073
P38723,P0CI38
P40027,P38264
P29465,P40027
Q08601,P0CF32
P61864,Q06449
P0CF32,P40450
P43543,Q02821
Q12489,P40439
P50861,P0CE70
P32628,P61864
P42221,P36019
P43543,P26448
P0CD89,P35203
P04824,P12954
P21965,P0CI39
P40152,P0CI39
P29295,EBI-2640286
P19658,P33332
P19658,P89102
P19658,P32855
P19658,Q00245
P19658,Q00245
P19658,Q00245
P04911,P14737
P36125,P47102
P53266,P39103
P53266,P00427
P53266,P40452
P53266,P07256
P53266,P04037
P53266,P00424
P53266,P07143
P53266,P00401
P53266,P40086
P53266,P32335
P53266,P04710
P53266,P07257
P53266,P49686
P53266,P00401
P39103,P00127
P39103,P00401
P39103,P00420
P39103,P04037
P39103,P49686
P39103,P53266
P39103,P07143
P39103,P00410
P07256,P00410
P07256,P00127
P07256,P49686
P07256,P53266
P07256,P04037
P32335,P53266
P32335,P00401
P53266,P40452
Q08749,P87108
P00401,P07256
P40452,P32335
P40452,P53266
P40452,P00175
P40452,P04840
P40452,P32335
P40452,P39103
P40452,P39103
P39103,P32335
P40452,P32335
P53266,P40452
P53266,P40452
P00401,P40452
P19073,Q06648
Q06407,P25693
Q06407,P24867
Q12477,Q06407
A6ZT25,Q04922
P52891,Q99257
P52891,P34232
P53011,P34232
P53011,Q99257
P52891,P46673
P52891,P53011
P52891,Q04491
P22213,P41834
P22213,P41834
P41834,P22213
P16474,P53324
P53324,P32915
P53324,P16474
A6ZYI3,Q12255
A6ZYI3,P27801
A6ZYI3,P11491
A6ZYI3,P18759
A6ZYI3,Q12241
A6ZYI3,P32912
A6ZYI3,Q03308
A6ZYI3,P20795
A6ZYI3,Q04338
Q12230,Q03407
Q12236,Q12230
P52891,P49687
P52891,Q99257
P52891,P36161
P52891,P35729
P52891,Q99257
P52891,P34232
Q02630,Q99257
Q02630,P34232
P40433,Q00955
P40433,Q08981
P40433,Q04412
P40433,P40529
P40433,P40563
P40433,P38080
P40433,P54115
P40433,P43633
P40433,P47029
P40433,Q99186
P40433,P53974
P40433,P47117
P40433,P53244
P40433,P48361
P40433,Q12527
P40433,Q06628
P40433,P50944
P40433,Q12365
P40433,Q01389
P40433,P33306
P40433,P47113
P40433,P40013
P40433,P16474
P40433,P29311
P40433,P34730
P40433,P53858
P40433,P53890
P40433,P40450
P40433,P38041
P40433,P39969
P40433,P53958
P40433,P26448
P40433,P48524
P40433,Q03758
P40433,P17555
P40433,P04821
P40433,P53197
P40433,P38265
P40433,Q01649
P40433,P27895
P40433,Q12145
P40433,P38892
P40433,P15790
P40433,P19454
P40433,Q12734
P40433,P08678
P40433,Q05080
P40433,Q07533
P40433,P06634
P40433,Q03063
P40433,Q03373
P40433,P40059
P40433,P38213
P40433,P53063
P40433,P53208
P40433,P38167
P40433,Q03653
P40433,Q07872
P40433,Q04660
P40433,P32353
P40433,Q03898
P40433,P40020
P40433,P40068
P40433,P22007
P40433,P53739
P40433,Q03002
P40433,P00358
P40433,P00359
P40433,P04386
P40433,P43574
P40433,Q01722
P40433,Q06648
P40433,Q12263
P40433,P40036
P40433,Q03016
P40433,P39732
P40433,Q04233
P40433,P18494
P40433,P40956
P40433,P48566
P40433,Q12753
P40433,P38970
P40433,Q05580
P40433,Q12276
P40433,Q04429
P40433,Q03213
P40433,Q99332
P40433,Q08732
P40433,P29295
P40433,P10591
P40433,P10592
P40433,P09435
P40433,P22202
P40433,P32464
P40433,P43598
P40433,P25605
P40433,P32351
P40433,P53901
P40433,Q12271
P40433,P00817
P40433,Q06554
P40433,Q03361
P40433,P47135
P40433,P17119
P40433,Q12494
P40433,P20485
P40433,P13185
P40433,P13186
P40433,Q01919
P40433,P25341
P40433,P28743
P40433,P36004
P40433,P38691
P40433,P38800
P40433,P25587
P40433,P04173
P40433,P36016
P40433,P25579
P40433,Q12230
P40433,P34239
P40433,P41910
P40433,P32783
P40433,P32354
P40433,Q06567
P40433,P53094
P40433,P40469
P40433,P43638
P40433,P27705
P40433,P34072
P40433,P32047
P40433,P39016
P40433,P21339
P40433,Q05812
P40433,P38590
P40433,P33748
P40433,P33749
P40433,P53604
P40433,P38994
P40433,P30771
P40433,P25293
P40433,Q06389
P40433,P36003
P40433,P22211
P40433,Q04958
P40433,P40010
P40433,P39705
P40433,P12695
P40433,Q12451
P40433,Q05518
P40433,P37304
P40433,P08018
P40433,P53238
P40433,P25360
P40433,P39104
P40433,P53252
P40433,Q12236
P40433,P32634
P40433,P32598
P40433,P38148
P40433,P33329
P40433,P40494
P40433,P28708
P40433,P31374
P40433,Q08217
P40433,P50896
P40433,P36002
P40433,P47116
P40433,P40048
P40433,Q12221
P40433,Q07807
P40433,P36166
P40433,P07259
P40433,Q12044
P40433,P25611
P40433,Q00816
P40433,Q06407
P40433,Q06108
P40433,P38741
P40433,Q02805
P40433,P43602
P40433,P51862
P40433,P25042
P40433,P38766
P40433,P05759
P40433,P05750
P40433,P39940
P40433,P53330
P40433,P32608
P40433,P53289
P40433,P17121
P40433,P53969
P40433,P39955
P40433,P38814
P40433,P48415
P40433,P30619
P40433,P34228
P40433,Q04279
P40433,P34250
P40433,Q06058
P40433,P20134
P40433,P38200
P40433,P11978
P40433,P25294
P40433,P34226
